state,county_name,office,district,candidate,magnitude,party,party_detailed
ALASKA,STATEWIDE,STATE HOUSE,006,"CRONK, MIKE",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,006,"HNILICKA, JULIA A.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,006,"RILEY, DEBORAH W.",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,006,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,007,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,007,"KURKA, CHRISTOPHER",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,007,"BURTON, JAMIN L.",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,007,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,008,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,008,"HARTLEY, ALMA N.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,008,"MCCABE, KEVIN J.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,008,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,009,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,009,"RAUSCHER, GEORGE",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,009,"JOHNSON, BILL",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,009,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,010,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,010,"EASTMAN, DAVID",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,010,"STEIN-OLSON, MONICA L.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,010,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,011,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,011,"HACKBARTH, ANDREA L.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,011,"JOHNSON, DELENA",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,011,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,012,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,012,"TILTON, CATHY L.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,012,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,013,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,013,"CANITZ, JAMES A., SR.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,013,"MCCARTY, KEN",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,013,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,014,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,014,"RISINGER, MICHAEL W. MIKE",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,014,"MERRICK, KELLY R.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,014,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,015,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,015,"FRANKS, LYN D.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,015,"NELSON, DAVID",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,015,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,016,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,016,"KOHLHAAS, SCOTT A.",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,016,"BAUER, PAUL A.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,016,"SPOHNHOLZ, IVY A.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,016,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,017,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,017,"JOSEPHSON, ANDREW L. (ANDY)",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,017,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,018,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,018,"DRUMMOND, HARRIET A.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,018,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,019,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,019,"TARR, GERAN",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,019,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,020,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,020,"FIELDS, WILLIAM Z. ZACK",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,020,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,021,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,021,"LARGENT, LYNETTE A.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,021,"CLAMAN, MATT",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,021,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,022,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,022,"RASMUSSEN, SARA E.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,022,"NEES, DAVID W.",1,AIP,AIP
ALASKA,STATEWIDE,STATE HOUSE,022,"TRIMBLE, STEPHEN T.",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,022,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,023,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,023,"HENSLEE, KATHERINE J. (KATHY)",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,023,"HUIT, TIMOTHY R.",1,AIP,AIP
ALASKA,STATEWIDE,STATE HOUSE,023,"TUCK, CHRIS S.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,023,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,024,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,024,"LEVI, SUE",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,024,"MCKAY, THOMAS W. (TOM)",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,024,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,025,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,025,"GILLIS, MEL",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,025,"SCHRAGE, CALVIN R.",1,DEM?,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,025,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,026,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,026,"SHAW, LADDIE H.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,026,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,027,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,027,"PRUITT, LANCE D.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,027,"SNYDER, LIZ",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,027,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,028,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,028,"LAFRANCE, SUZANNE M.",1,DEM?,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,028,"FLETCHER, BENJAMIN R.",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,028,"KAUFMAN, JAMES D.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,028,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,029,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,029,"CARPENTER, BENJAMIN E.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,029,"DALE, PAUL D.",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,029,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,030,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,030,"GILLHAM, RONALD D. (RON)",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,030,"BAISDEN, JAMES",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,030,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,031,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,031,"VANCE, SARAH L.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,031,"COOPER, KELLY",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,031,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,032,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,032,"STUTES, LOUISE B.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,032,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,033,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,033,"HANNAN, SARA",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,033,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,034,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,034,"KING, EDWARD M. ED",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,034,"STORY, ANDREA ANDI",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,034,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,035,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,035,"KREISS-TOMKINS, JONATHAN S.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,035,"SKAFLESTAD, KENNY",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,035,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,036,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,036,"ORTIZ, DANIEL H. (DAN)",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,036,"BECKER, LESLIE",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,036,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,037,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,037,"EDGMON, BRYCE",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,037,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,038,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,038,"KEPPEL, WILLY",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,038,"ZULKOSKY, TIFFANY",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,038,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,039,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,039,"FOSTER, NEAL W.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,039,"HOLMES, DAN",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,039,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,040,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,040,"FERGUSON, ELIZABETH",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,040,"PATKOTAK, JOSIAH AULLAQSRUAQ",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,040,WRITE-IN,1,,
ARIZONA,MARICOPA,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
ARIZONA,MARICOPA,US PRESIDENT,FEDERAL,BODDIE/STONEHAM,1,,
ARIZONA,MARICOPA,US PRESIDENT,FEDERAL,CUMMINGS/HUBER,1,,
ARIZONA,MARICOPA,US PRESIDENT,FEDERAL,HAWKINS/WALKER,1,,
ARIZONA,MARICOPA,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
ARIZONA,MARICOPA,US PRESIDENT,FEDERAL,LA RIVA/FREEMAN,1,,
ARIZONA,MARICOPA,US PRESIDENT,FEDERAL,NOT QUALIFIED,1,,
ARIZONA,MARICOPA,US PRESIDENT,FEDERAL,OVERVOTE,1,,
ARIZONA,MARICOPA,US PRESIDENT,FEDERAL,SIMMONS/ROZE,1,,
ARIZONA,MARICOPA,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
ARIZONA,MARICOPA,US PRESIDENT,FEDERAL,UNDERVOTE,1,,undervote
ARIZONA,MARICOPA,US SENATE,ARIZONA,"ARIF, MOHAMMAD (MIKE OBAMA)",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"BECKETT, CHRISTOPHER",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"CHILTON, ADAM",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"DAVIDA, EDWARD",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"DECKER, WILLIAM (WILL)",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"DORCHESTER, MATTHEW (DOC)",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"GLENN, NICHOLAS N.",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"HAUPT, MATHEW",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"KAPADIA, PERRY",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"KELLY, MARK",1,DEM,DEMOCRAT
ARIZONA,MARICOPA,US SENATE,ARIZONA,"MCSALLY, MARTHA",1,REP,REPUBLICAN
ARIZONA,MARICOPA,US SENATE,ARIZONA,NOT QUALIFIED,1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,OVERVOTE,1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"RODRIGUEZ, BENJAMIN",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"RODRIGUEZ, JOSHUA",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"SAENZ, FRANK",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"SCHIESS, JOHN",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"SIMMONS, DEBBIE",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"STEVENS, JIM",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"STEWART, BUZZ",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,"THOMAS, PATRICK (PAT)",1,,
ARIZONA,MARICOPA,US SENATE,ARIZONA,UNDERVOTE,1,,undervote
ARIZONA,MARICOPA,US HOUSE,001,"O'HALLERAN, TOM",1,DEM,DEMOCRAT
ARIZONA,MARICOPA,US HOUSE,001,"SHEDD, TIFFANY",1,REP,REPUBLICAN
ARIZONA,MARICOPA,US HOUSE,001,UNDERVOTE,1,,undervote
ARIZONA,MARICOPA,US HOUSE,001,WRITE-IN,1,,
ARIZONA,MARICOPA,US HOUSE,003,"GRIJALVA, RAUL",1,DEM,DEMOCRAT
ARIZONA,MARICOPA,US HOUSE,003,OVERVOTE,1,,
ARIZONA,MARICOPA,US HOUSE,003,UNDERVOTE,1,,undervote
ARIZONA,MARICOPA,US HOUSE,003,"WOOD, DANIEL",1,REP,REPUBLICAN
ARIZONA,MARICOPA,US HOUSE,003,WRITE-IN,1,,
ARIZONA,MARICOPA,US HOUSE,004,"BRENNAN, BRETT",1,,
ARIZONA,MARICOPA,US HOUSE,004,"DISANTO, DELINA",1,DEM,DEMOCRAT
ARIZONA,MARICOPA,US HOUSE,004,"GOSAR, PAUL",1,REP,REPUBLICAN
ARIZONA,MARICOPA,US HOUSE,004,NOT QUALIFIED,1,,
ARIZONA,MARICOPA,US HOUSE,004,"OVERHOLSER, DON",1,,
ARIZONA,MARICOPA,US HOUSE,004,OVERVOTE,1,,
ARIZONA,MARICOPA,US HOUSE,004,UNDERVOTE,1,,undervote
ARIZONA,MARICOPA,US HOUSE,005,"BIGGS, ANDY",1,REP,REPUBLICAN
ARIZONA,MARICOPA,US HOUSE,005,"GREENE, JOAN",1,DEM,DEMOCRAT
ARIZONA,MARICOPA,US HOUSE,005,NOT QUALIFIED,1,,
ARIZONA,MARICOPA,US HOUSE,005,OVERVOTE,1,,
ARIZONA,MARICOPA,US HOUSE,005,"STEPHENS, KAREN",1,,
ARIZONA,MARICOPA,US HOUSE,005,UNDERVOTE,1,,undervote
ARIZONA,MARICOPA,US HOUSE,006,OVERVOTE,1,,
ARIZONA,MARICOPA,US HOUSE,006,"SCHWEIKERT, DAVID",1,REP,REPUBLICAN
ARIZONA,MARICOPA,US HOUSE,006,"TIPIRNENI, HIRAL",1,DEM,DEMOCRAT
ARIZONA,MARICOPA,US HOUSE,006,UNDERVOTE,1,,undervote
ARIZONA,MARICOPA,US HOUSE,006,WRITE-IN,1,,
ARIZONA,MARICOPA,US HOUSE,007,"BARNETT, JOSHUA",1,REP,REPUBLICAN
ARIZONA,MARICOPA,US HOUSE,007,"GALLEGO, RUBEN",1,DEM,DEMOCRAT
ARIZONA,MARICOPA,US HOUSE,007,"KIRKHAM, J. TRAVIS",1,,
ARIZONA,MARICOPA,US HOUSE,007,NOT QUALIFIED,1,,
ARIZONA,MARICOPA,US HOUSE,007,OVERVOTE,1,,
ARIZONA,MARICOPA,US HOUSE,007,"RODRIGUEZ, ROXANNE",1,,
ARIZONA,MARICOPA,US HOUSE,007,UNDERVOTE,1,,undervote
ARIZONA,MARICOPA,US HOUSE,008,"HENDRIX, TALIBAN",1,,
ARIZONA,MARICOPA,US HOUSE,008,"LESKO, DEBBIE",1,REP,REPUBLICAN
ARIZONA,MARICOPA,US HOUSE,008,"MUSCATO, MICHAEL",1,DEM,DEMOCRAT
ARIZONA,MARICOPA,US HOUSE,008,NOT QUALIFIED,1,,
ARIZONA,MARICOPA,US HOUSE,008,OVERVOTE,1,,
ARIZONA,MARICOPA,US HOUSE,008,UNDERVOTE,1,,undervote
ARIZONA,MARICOPA,US HOUSE,009,"GILES, DAVE",1,REP,REPUBLICAN
ARIZONA,MARICOPA,US HOUSE,009,OVERVOTE,1,,
ARIZONA,MARICOPA,US HOUSE,009,"STANTON, GREG",1,DEM,DEMOCRAT
ARIZONA,MARICOPA,US HOUSE,009,UNDERVOTE,1,,undervote
ARIZONA,MARICOPA,US HOUSE,009,WRITE-IN,1,,
ARIZONA,MARICOPA,STATE SENATE,001,"CARILLO, GILBERT",1,DEM,DEMOCRAT
ARIZONA,MARICOPA,STATE SENATE,001,"FANN, KAREN ELIZABETH",1,REP,REPUBLICAN
