state,office,district,candidate_medsl,candidate_harvard,party_detailed,issue,writein,fixed error?
ARIZONA,STATE HOUSE,3,CANO ANDR201S,,DEMOCRAT,,,
ARIZONA,STATE HOUSE,4,PETEN GERALDINE QUOTGERAEQUOT,,DEMOCRAT,,,
ARIZONA,STATE HOUSE,9,FRIESE RANDALL QUOTRANDYQUOT,,DEMOCRAT,,,
ARIZONA,STATE HOUSE,14,BEACHMOSCHETTI KIMBERLY QUOTKIMQUOT,,DEMOCRAT,,,
ARIZONA,STATE HOUSE,002,DALESSANDRO ANDREA,"DALESSANDRO, ANDREA",DEMOCRAT,,,
ARIZONA,STATE HOUSE,002,DANIEL HERNANDEZ JR,,DEMOCRAT,,,
ARIZONA,STATE HOUSE,002,HERNANDEZ JR DANIEL,"HERNANDEZ JR., DANIEL",DEMOCRAT,,,
ARIZONA,STATE HOUSE,002,MCEWEN DEBORAH,"MCEWEN, DEBORAH",REPUBLICAN,,,
ARIZONA,STATE HOUSE,003,ANDRES CANO,,DEMOCRAT,,,
ARIZONA,STATE HOUSE,003,HERNANDEZ ALMA,"HERNANDEZ, ALMA",DEMOCRAT,,,
ARIZONA,STATE HOUSE,004,FERNANDEZ CHARLENE,"FERNANDEZ, CHARLENE",DEMOCRAT,,,
ARIZONA,STATE HOUSE,004,"GERALDINE ""GERAE"" PETEN",,DEMOCRAT,,,
ARIZONA,STATE HOUSE,004,JOHN JOEL,"JOHN, JOEL",REPUBLICAN,,,
ARIZONA,STATE HOUSE,009,LYONS BRENDAN,"LYONS, BRENDAN",REPUBLICAN,,,
ARIZONA,STATE HOUSE,009,POWERS HANNLEY PAMELA,"POWERS HANNLEY, PAMELA",DEMOCRAT,,,
ARIZONA,STATE HOUSE,009,"RANDALL ""RANDY"" FRIESE",,DEMOCRAT,,,
ARIZONA,STATE HOUSE,010,DEGRAZIA DOMINGO,"DEGRAZIA, DOMINGO",DEMOCRAT,,,
ARIZONA,STATE HOUSE,010,GUMMERE MABELLE,"GUMMERE, MABELLE",REPUBLICAN,,,
ARIZONA,STATE HOUSE,010,HICKS MICHAEL,"HICKS, MICHAEL",REPUBLICAN,,,
ARIZONA,STATE HOUSE,010,STAHL HAMILTON STEPHANIE,"STAHL HAMILTON, STEPHANIE",DEMOCRAT,,,
ARIZONA,STATE HOUSE,011,FINCHEM MARK,"FINCHEM, MARK",REPUBLICAN,,,
ARIZONA,STATE HOUSE,011,PEREZ FELIPE R,"PEREZ, FELIPE R",DEMOCRAT,,,
ARIZONA,STATE HOUSE,011,ROBERTS BRET,"ROBERTS, BRET",REPUBLICAN,,,
ARIZONA,STATE HOUSE,014,GRIFFIN GAIL,"GRIFFIN, GAIL",REPUBLICAN,,,
ARIZONA,STATE HOUSE,014,"KIMBERLY ""KIM"" BEACH-MOSCHETTI",,DEMOCRAT,,,
ARIZONA,STATE HOUSE,014,MAESTASCONDOS RONNIE,"MAESTAS-CONDOS, RONNIE",DEMOCRAT,,,
ARIZONA,STATE HOUSE,014,NUTT BECKY,"NUTT, BECKY",REPUBLICAN,,,
ARIZONA,STATE SENATE,2,GABALD211N ROSANNA,,DEMOCRAT,,,
ARIZONA,STATE SENATE,11,LEACH VENDEN QUOTVINCEQUOT,,REPUBLICAN,,,
ARIZONA,STATE SENATE,002,ROSANNA GABALDON,,DEMOCRAT,,,
ARIZONA,STATE SENATE,002,WORKMAN MARK,"WORKMAN, MARK",REPUBLICAN,,,
ARIZONA,STATE SENATE,002,,,,,,
ARIZONA,STATE SENATE,003,GONZALES SALLY ANN,"GONZALES, SALLY ANN",DEMOCRAT,,,
ARIZONA,STATE SENATE,004,ANGRY TRAVIS,"ANGRY, TRAVIS",REPUBLICAN,,,
ARIZONA,STATE SENATE,004,OTONDO LISA,"OTONDO, LISA",DEMOCRAT,,,
ARIZONA,STATE SENATE,004,,,,,,
ARIZONA,STATE SENATE,009,STEELE VICTORIA,"STEELE, VICTORIA",DEMOCRAT,,,
ARIZONA,STATE SENATE,010,ENGEL KIRSTEN,"ENGEL, KIRSTEN",DEMOCRAT,,,
ARIZONA,STATE SENATE,010,WADSACK JUSTINE,"WADSACK, JUSTINE",REPUBLICAN,,,
ARIZONA,STATE SENATE,011,MENDOZA JOANNA,"MENDOZA, JOANNA",DEMOCRAT,,,
ARIZONA,STATE SENATE,011,"VENDEN ""VINCE"" LEACH",,REPUBLICAN,,,
ARIZONA,STATE SENATE,013,,,,,,
ARIZONA,STATE SENATE,014,GOWAN DAVID,"GOWAN, DAVID",REPUBLICAN,,,
ARIZONA,STATE SENATE,014,KARP BOB,"KARP, BOB",DEMOCRAT,,,
ARIZONA,US HOUSE,3,GRIJALVA RA218L,,DEMOCRAT,,,
ARIZONA,US HOUSE,001,OHALLERAN TOM,"O'HALLERAN, TOM",DEMOCRAT,,,
ARIZONA,US HOUSE,001,SHEDD TIFFANY,"SHEDD, TIFFANY",REPUBLICAN,,,
ARIZONA,US HOUSE,002,KIRKPATRICK ANN,"KIRKPATRICK, ANN",DEMOCRAT,,,
ARIZONA,US HOUSE,002,MARTIN BRANDON,"MARTIN, BRANDON",REPUBLICAN,,,
ARIZONA,US HOUSE,003,RAUL GRIJALVA,,DEMOCRAT,,,
ARIZONA,US HOUSE,003,WOOD DANIEL,"WOOD, DANIEL",REPUBLICAN,,,
ARIZONA,US HOUSE,003,,,,,,
ARIZONA,US HOUSE,004,,,,,,
ARIZONA,US PRESIDENT,FEDERAL,,,,,,
ARIZONA,US SENATE,ARIZONA,KELLY MARK,"KELLY, MARK",DEMOCRAT,,,
ARIZONA,US SENATE,ARIZONA,MCSALLY MARTHA,"MCSALLY, MARTHA",REPUBLICAN,,,
ARIZONA,US SENATE,ARIZONA,,,,,,
ARKANSAS,STATE HOUSE,34,RODERICK GREER TALLEY,,INDEPENDENT,,,
ARKANSAS,US PRESIDENT,FEDERAL,BRIAN T CARROLL,,AMERICAN SOLIDARITY,,,
ARKANSAS,US PRESIDENT,FEDERAL,BRIAN T CARROLL,,AMERICAN SOLIDARITY,,,
ARKANSAS,US PRESIDENT,FEDERAL,BROCK PIERCE,,INDEPENDENT,,,
ARKANSAS,US PRESIDENT,FEDERAL,CL GAMMON,,INDEPENDENT,,,
ARKANSAS,US PRESIDENT,FEDERAL,COLLINS PARKER,,INDEPENDENT,,,
ARKANSAS,US PRESIDENT,FEDERAL,DON BLANKENSHIP,,CONSTITUTION,,,
ARKANSAS,US PRESIDENT,FEDERAL,GLORIA LA RIVA,,SOCIALSISM AND LIBERATION,,,
ARKANSAS,US PRESIDENT,FEDERAL,GLORIA LA RIVA,,SOCIALSISM AND LIBERATION,,,
ARKANSAS,US PRESIDENT,FEDERAL,JOHN RICHARD MYERS,,LIFE AND LIBERTY,,,
ARKANSAS,US PRESIDENT,FEDERAL,KANYE WEST,,INDEPENDENT,,,
ARKANSAS,US PRESIDENT,FEDERAL,LIF MYERS LUSK,,SOCIALSISM AND LIBERATION,,,
ARKANSAS,US PRESIDENT,FEDERAL,LIF MYERS LUSK,,SOCIALSISM AND LIBERATION,,,
ARKANSAS,US PRESIDENT,FEDERAL,LL JOHN RICHARD MYERS,,INDEPENDENT,,,
ARKANSAS,US PRESIDENT,FEDERAL,PHIL COLLINS,,INDEPENDENT,,,
ARKANSAS,US PRESIDENT,FEDERAL,ROCQUE DE LA FUENTE,,REFORM,,,
CALIFORNIA,STATE HOUSE,15,SARA BRINK,SARA BRINK,INDEPENDENT,,,
CALIFORNIA,STATE HOUSE,42,CHAD MAYES,CHAD MAYES,INDEPENDENT,,,
CALIFORNIA,STATE HOUSE,001,ELIZABETH L BETANCOURT,ELIZABETH L. BETANCOURT,DEMOCRAT,,,
CALIFORNIA,STATE HOUSE,001,MEGAN DAHLE,MEGAN DAHLE,REPUBLICAN,,,
CALIFORNIA,STATE HOUSE,002,CHARLOTTE ANN SVOLOS,CHARLOTTE ANN SVOLOS,REPUBLICAN,,,
CALIFORNIA,STATE HOUSE,002,CHARLOTTE SVOLOS,,REPUBLICAN,,,
CALIFORNIA,STATE HOUSE,002,JIM WOOD,JIM WOOD,DEMOCRAT,,,
CALIFORNIA,STATE HOUSE,003,JAMES GALLAGHER,JAMES GALLAGHER,REPUBLICAN,,,
CALIFORNIA,STATE HOUSE,003,JAMES R HENSON,JAMES R. HENSON,DEMOCRAT,,,
CALIFORNIA,STATE HOUSE,005,FRANK BIGELOW,FRANK BIGELOW,REPUBLICAN,,,
CALIFORNIA,STATE HOUSE,009,ERIC M RIGARD,,REPUBLICAN,,,
CALIFORNIA,STATE HOUSE,009,JIM COOPER,,DEMOCRAT,,,
CALIFORNIA,STATE HOUSE,013,CARLOS VILLAPUDUA,,DEMOCRAT,,,
CALIFORNIA,STATE HOUSE,013,KATHY MILLER,,DEMOCRAT,,,
CALIFORNIA,STATE HOUSE,021,ADAM GRAY,ADAM GRAY,DEMOCRAT,,,
CALIFORNIA,STATE HOUSE,021,JOEL GUTIERREZ CAMPOS,JOEL GUTIERREZ CAMPOS,REPUBLICAN,,,
CALIFORNIA,STATE HOUSE,042,CHAD MAYES,CHAD MAYES,INDEPENDENT,,,
CALIFORNIA,STATE SENATE,001,BRIAN DAHLE,BRIAN DAHLE,REPUBLICAN,,,
CALIFORNIA,STATE SENATE,001,PAMELA DAWN SWARTZ,PAMELA DAWN SWARTZ,DEMOCRAT,,,
CALIFORNIA,STATE SENATE,005,JIM RIDENOUR,,REPUBLICAN,,,
CALIFORNIA,STATE SENATE,005,SUSAN TALAMANTES EGGMAN,,DEMOCRAT,,,
CALIFORNIA,US HOUSE,8,CHRISTINE BUBSER DEMOCRATIC,,DEMOCRAT,,,
CALIFORNIA,US HOUSE,8,JAY OBERNOLTE REPUBLICAN,,REPUBLICAN,,,
CALIFORNIA,US HOUSE,001,AUDREY DENNEY,AUDREY DENNEY,DEMOCRAT,,,
CALIFORNIA,US HOUSE,001,DOUG LAMALFA,DOUG LAMALFA,REPUBLICAN,,,
CALIFORNIA,US HOUSE,002,DALE K MENSING,DALE K. MENSING,REPUBLICAN,,,
CALIFORNIA,US HOUSE,002,JARED HUFFMAN,JARED HUFFMAN,DEMOCRAT,,,
CALIFORNIA,US HOUSE,003,JOHN GARAMENDI,JOHN GARAMENDI,DEMOCRAT,,,
CALIFORNIA,US HOUSE,003,TAMIKA HAMILTON,TAMIKA HAMILTON,REPUBLICAN,,,
CALIFORNIA,US HOUSE,004,BRYNNE S KENNEDY,BRYNNE S. KENNEDY,DEMOCRAT,,,
CALIFORNIA,US HOUSE,004,TOM MCCLINTOCK,TOM MCCLINTOCK,REPUBLICAN,,,
CALIFORNIA,US HOUSE,008,ALONSO ESCOBAR,,,,yes,
CALIFORNIA,US HOUSE,008,BILL SAUSER,,,,yes,
CALIFORNIA,US HOUSE,008,CHRISTINE BUBSER,,DEMOCRAT,,,
CALIFORNIA,US HOUSE,008,CYNDI MYROLD,,,,yes,
CALIFORNIA,US HOUSE,008,DANIELLE Z DUBLINO,,,,yes,
CALIFORNIA,US HOUSE,008,DAVE TITUS,,,,yes,
CALIFORNIA,US HOUSE,008,GREGG VANE,,,,yes,
CALIFORNIA,US HOUSE,008,HEIDI STEENSTRA,,,,yes,
CALIFORNIA,US HOUSE,008,JAMES JIMMY LITTLE,,,,yes,
CALIFORNIA,US HOUSE,008,JAY OBERNOLTE,,REPUBLICAN,,,
CALIFORNIA,US HOUSE,008,JOSHUA G RHODES,,,,yes,
CALIFORNIA,US HOUSE,008,KATHY ZACK,,,,yes,
CALIFORNIA,US HOUSE,008,MERYL PICARD,,,,yes,
CALIFORNIA,US HOUSE,008,NO,,,yes,,
CALIFORNIA,US HOUSE,008,RHONDA DUGGAN,,,,yes,
CALIFORNIA,US HOUSE,008,SARA MCCONNELL,,,,yes,
CALIFORNIA,US HOUSE,008,SARAH REA,,,,yes,
CALIFORNIA,US HOUSE,008,SCOTT BUSH,,,,yes,
CALIFORNIA,US HOUSE,008,SHANA STAPP,,,,yes,
CALIFORNIA,US HOUSE,008,STEVE ELIA,,,,yes,
CALIFORNIA,US HOUSE,008,YES,,,yes,,
CALIFORNIA,US HOUSE,009,ANTONIO C TONY AMADOR,ANTONIO C. (TONY) AMADOR,REPUBLICAN,,,
CALIFORNIA,US HOUSE,009,JERRY MCNERNEY,JERRY MCNERNEY,DEMOCRAT,,,
CALIFORNIA,US HOUSE,010,JOSH HARDER,,DEMOCRAT,,,
CALIFORNIA,US HOUSE,010,TED HOWZE,,REPUBLICAN,,,
CALIFORNIA,US HOUSE,016,JIM COSTA,JIM COSTA,DEMOCRAT,,,
CALIFORNIA,US HOUSE,016,KEVIN COOKINGHAM,KEVIN COOKINGHAM,REPUBLICAN,,,
CALIFORNIA,US HOUSE,021,TJ COX,,DEMOCRAT,,,
CALIFORNIA,US PRESIDENT,FEDERAL,GLORIA LA RIVA,GLORIA LA RIVA,P&F,,,
CALIFORNIA,US PRESIDENT,FEDERAL,GLORIA LA RIVA,GLORIA LA RIVA,P&F,,,
CALIFORNIA,US PRESIDENT,FEDERAL,ROCQUE DE LA FUENTE,,REFORM,,,
CALIFORNIA,US PRESIDENT,FEDERAL,WRITE IN,WRITE-IN,WRITEIN,,,
CALIFORNIA,US PRESIDENT,FEDERAL,,,,,,
COLORADO,STATE HOUSE,5,JOE RICHARDSON,JOE RICHARDSON,UNITY,,,
COLORADO,STATE HOUSE,026,DYLAN ROBERTS,DYLAN ROBERTS,DEMOCRAT,,,
COLORADO,STATE SENATE,33,JERRY BURTON,JERRY BURTON,UNITY,,,
COLORADO,US HOUSE,1,JAN KOK,JAN KOK,APPROVAL VOTING,,,
COLORADO,US HOUSE,1,PAUL NOEL FIORINO,PAUL NOEL FIORINO,UNITY,,,
COLORADO,US HOUSE,2,GARY SWING,GARY SWING,UNITY,,,
COLORADO,US HOUSE,3,CRITTER MILTON,CRITTER MILTON,UNITY,,,
COLORADO,US HOUSE,4,LAURA IRELAND,LAURA IRELAND,UNITY,,,
COLORADO,US HOUSE,5,MARCUS ALLEN MURPHY,MARCUS ALLEN MURPHY,INDEPENDENT,,,
COLORADO,US HOUSE,5,REBECCA KELTIE,REBECCA KELTIE,UNITY,,,
COLORADO,US HOUSE,6,JAIMIE LYNN KULIKOWSKI,JAIMIE LYNN KULIKOWSKI,UNITY,,,
COLORADO,US HOUSE,7,DAVID OLSZTA,DAVID OLSZTA,UNITY,,,
COLORADO,US PRESIDENT,FEDERAL,DON BLANKENSHIP,DON BLANKENSHIP,CONSTITUTION,,,
COLORADO,US PRESIDENT,FEDERAL,KANYE WEST,KANYE WEST,INDEPENDENT,,,
COLORADO,US PRESIDENT,FEDERAL,KASEY WELLS,,UNAFFILIATED,,,
COLORADO,US SENATE,COLORADO,DANIEL DOYLE,DANIEL DOYLE,APPROVAL VOTING,,,
COLORADO,US SENATE,COLORADO,STEPHAN SEKU EVANS,STEPHAN (SEKU) EVANS,UNITY,,,
DELAWARE,GOVERNOR,DELAWARE,KATHY S DEMATTEIS,KATHY S. DEMATTEIS,INDEPENDENT,,,
DELAWARE,US HOUSE,0,CATHERINE S PURCELL,CATHERINE S. PURCELL,INDEPENDENT,,,
DELAWARE,US SENATE,DELAWARE,MARK W TURLEY,MARK W. TURLEY,INDEPENDENT,,,
DISTRICT OF COLUMBIA,US HOUSE,0,AMIR LOWERY,,INDEPENDENT,,,
DISTRICT OF COLUMBIA,US HOUSE,0,BARBARA WASHINGTON FRANKLIN,,INDEPENDENT,,,
DISTRICT OF COLUMBIA,US HOUSE,0,DAVID KRUCOFF,,INDEPENDENT,,,
DISTRICT OF COLUMBIA,US HOUSE,0,JOHN RECOVERY CHEEKS,,INDEPENDENT,,,
DISTRICT OF COLUMBIA,US HOUSE,0,SOHAER RIZVI SYED,,INDEPENDENT,,,
DISTRICT OF COLUMBIA,US HOUSE,0,STG JOYCE CHESTNUT ROBINSONPAUL,,GREEN,,,
DISTRICT OF COLUMBIA,US HOUSE,0,STG NATALE LINO STRACUZZI,,GREEN,,,
DISTRICT OF COLUMBIA,US HOUSE,0,SWP OMARI MUSA,,SOCIALIST WORKERS,,,
DISTRICT OF COLUMBIA,US HOUSE,000,"JOYCE ""CHESTNUT"" ROBINSON-PAUL",,GREEN,,,
DISTRICT OF COLUMBIA,US HOUSE,000,"NATALE ""LINO"" STRACUZZI",,GREEN,,,
DISTRICT OF COLUMBIA,US HOUSE,000,OMARI MUSA,,INDEPENDENT,,,
DISTRICT OF COLUMBIA,US PRESIDENT,FEDERAL,BROCK PIERCE,,INDEPENDENT,,,
DISTRICT OF COLUMBIA,US PRESIDENT,FEDERAL,GLORIA LA RIVA,,INDEPENDENT,,,
DISTRICT OF COLUMBIA,US SENATE,DISTRICT OF COLUMBIA,ELEANOR ORY,,GREEN,,,
DISTRICT OF COLUMBIA,US SENATE,DISTRICT OF COLUMBIA,STG ELEANOR ORY ECHO,,GREEN,,,
FLORIDA,STATE HOUSE,18,LPF KEN WILLEY,,LIBERTARIAN,,,
FLORIDA,STATE HOUSE,62,LAURIE RODRIGUEZPERSON,LAURIE RODRIGUEZ-PERSON,NO PARTY AFFILIATION,,,
FLORIDA,STATE HOUSE,88,RUBIN ANDERSON,RUBIN ANDERSON,NO PARTY AFFILIATION,,,
FLORIDA,STATE HOUSE,92,NANCY ST CLAIR,,NO PARTY AFFILIATION,,,
FLORIDA,STATE HOUSE,001,STATE REPRESENTATIVE DISTRICT 1,,,yes,,
FLORIDA,STATE HOUSE,002,ALEX ANDRADE,ALEX ANDRADE,REPUBLICAN,,,
FLORIDA,STATE HOUSE,002,DIANNE KRUMEL,DIANNE KRUMEL,DEMOCRAT,,,
FLORIDA,STATE HOUSE,002,STATE REPRESENTATIVE DISTRICT 2,,,yes,,
FLORIDA,STATE HOUSE,003,ANGELA L HOOVER,ANGELA L. HOOVER,DEMOCRAT,,,
FLORIDA,STATE HOUSE,003,JAYER WILLIAMSON,JAYER WILLIAMSON,REPUBLICAN,,,
FLORIDA,STATE HOUSE,011,STATE REPRESENTATIVE DISTRICT 11,,,yes,,
FLORIDA,STATE HOUSE,012,STATE REPRESENTATIVE DISTRICT 12,,,yes,,
FLORIDA,STATE HOUSE,014,STATE REPRESENTATIVE DISTRICT 14,,,yes,,
FLORIDA,STATE HOUSE,015,STATE REPRESENTATIVE DISTRICT 15,,,yes,,
FLORIDA,STATE HOUSE,016,STATE REPRESENTATIVE DISTRICT 16,,,yes,,
FLORIDA,STATE HOUSE,018,KENNETH ALBIN WILLEY,,LIBERTARIAN,,,
FLORIDA,STATE HOUSE,024,ADAM MORLEY,ADAM MORLEY,DEMOCRAT,,,
FLORIDA,STATE HOUSE,024,PAUL RENNER,PAUL RENNER,REPUBLICAN,,,
FLORIDA,STATE HOUSE,030,STATE REPRESENTATIVE DISTRICT 30,,,yes,,
FLORIDA,STATE HOUSE,031,CRISSY STILE,CRISSY STILE,DEMOCRAT,,,
FLORIDA,STATE HOUSE,031,KEITH TRUENOW,KEITH TRUENOW,REPUBLICAN,,,
FLORIDA,STATE HOUSE,031,STATE REPRESENTATIVE DISTRICT 31,,,yes,,
FLORIDA,STATE HOUSE,032,ANTHONY SABATINI,ANTHONY SABATINI,REPUBLICAN,,,
FLORIDA,STATE HOUSE,032,STATE REPRESENTATIVE DISTRICT 32,,,yes,,
FLORIDA,STATE HOUSE,032,STEPHANIE L DUKES,STEPHANIE L. DUKES,DEMOCRAT,,,
FLORIDA,STATE HOUSE,033,BRETT T HAGE,BRETT T. HAGE,REPUBLICAN,,,
FLORIDA,STATE HOUSE,033,MAMIE DEE MELVIN,MAMIE DEE MELVIN,DEMOCRAT,,,
FLORIDA,STATE HOUSE,033,STATE REPRESENTATIVE DISTRICT 33,,,yes,,
FLORIDA,STATE HOUSE,034,STATE REP DISTRICT 34,,,yes,,
FLORIDA,STATE HOUSE,036,AMBER MARIANO,AMBER MARIANO,REPUBLICAN,,,
FLORIDA,STATE HOUSE,036,DANIEL ENDONINO,DANIEL ENDONINO,DEMOCRAT,,,
FLORIDA,STATE HOUSE,036,STATE REPRESENTATIVE DISTRICT 36,,,yes,,
FLORIDA,STATE HOUSE,037,ARDIAN ZIKA,ARDIAN ZIKA,REPUBLICAN,,,
FLORIDA,STATE HOUSE,037,STATE REPRESENTATIVE DISTRICT 37,,,yes,,
FLORIDA,STATE HOUSE,037,TAMMY GARCIA,TAMMY GARCIA,DEMOCRAT,,,
FLORIDA,STATE HOUSE,038,BRIAN STAVER,BRIAN STAVER,DEMOCRAT,,,
FLORIDA,STATE HOUSE,038,RANDY MAGGARD,RANDY MAGGARD,REPUBLICAN,,,
FLORIDA,STATE HOUSE,038,STATE REPRESENTATIVE DISTRICT 38,,,yes,,
FLORIDA,STATE HOUSE,044,STATE REPRESENTATIVE DISTRICT 44,,,yes,,
FLORIDA,STATE HOUSE,047,STATE REPRESENTATIVE DISTRICT 47,,,yes,,
FLORIDA,STATE HOUSE,048,STATE REPRESENTATIVE DISTRICT 48,,,yes,,
FLORIDA,STATE HOUSE,049,STATE REPRESENTATIVE DISTRICT 49,,,yes,,
FLORIDA,STATE HOUSE,050,STATE REPRESENTATIVE DISTRICT 50,,,yes,,
FLORIDA,STATE HOUSE,103,CINDY POLO,CINDY POLO,DEMOCRAT,,,
FLORIDA,STATE HOUSE,103,STATE REPRESENTATIVE DIST 103,,,yes,,
FLORIDA,STATE HOUSE,103,TOM FABRICIO,TOM FABRICIO,REPUBLICAN,,,
FLORIDA,STATE HOUSE,105,DAVID BORRERO,DAVID BORRERO,REPUBLICAN,,,
FLORIDA,STATE HOUSE,105,MAUREEN PORRAS,MAUREEN PORRAS,DEMOCRAT,,,
FLORIDA,STATE HOUSE,105,STATE REPRESENTATIVE DIST 105,,,yes,,
FLORIDA,STATE HOUSE,110,ALEX RIZO,ALEX RIZO,REPUBLICAN,,,
FLORIDA,STATE HOUSE,110,ANNETTE COLLAZO,ANNETTE COLLAZO,DEMOCRAT,,,
FLORIDA,STATE HOUSE,110,STATE REPRESENTATIVE DIST 110,,,yes,,
FLORIDA,STATE HOUSE,111,BRYAN AVILA,BRYAN AVILA,REPUBLICAN,,,
FLORIDA,STATE HOUSE,111,ROSS ELDE HANCOCK,ROSS ELDE HANCOCK,DEMOCRAT,,,
FLORIDA,STATE HOUSE,111,STATE REPRESENTATIVE DIST 111,,,yes,,
FLORIDA,STATE HOUSE,112,BRUNO A BARREIRO,BRUNO A. BARREIRO,REPUBLICAN,,,
FLORIDA,STATE HOUSE,112,NICHOLAS XAVIER DURAN,NICHOLAS XAVIER DURAN,DEMOCRAT,,,
FLORIDA,STATE HOUSE,112,STATE REPRESENTATIVE DIST 112,,,yes,,
FLORIDA,STATE HOUSE,114,DEMI BUSATTA CABRERA,DEMI BUSATTA CABRERA,REPUBLICAN,,,
FLORIDA,STATE HOUSE,114,JEANPIERRE BADO,JEAN-PIERRE BADO,DEMOCRAT,,,
FLORIDA,STATE HOUSE,114,STATE REPRESENTATIVE DIST 114,,,yes,,
FLORIDA,STATE HOUSE,115,FRANCCESCA CESTIBROWNE,FRANCCESCA CESTI-BROWNE,DEMOCRAT,,,
FLORIDA,STATE HOUSE,115,STATE REPRESENTATIVE DIST 115,,,yes,,
FLORIDA,STATE HOUSE,115,VANCE ALOUPIS,VANCE ALOUPIS,REPUBLICAN,,,
FLORIDA,STATE HOUSE,116,BOB LYNCH,BOB LYNCH,DEMOCRAT,,,
FLORIDA,STATE HOUSE,116,DANIEL A PEREZ,DANIEL A. PEREZ,REPUBLICAN,,,
FLORIDA,STATE HOUSE,116,STATE REPRESENTATIVE DIST 116,,,yes,,
FLORIDA,STATE HOUSE,118,ANTHONY RODRIGUEZ,ANTHONY RODRIGUEZ,REPUBLICAN,,,
FLORIDA,STATE HOUSE,118,RICKY JUNQUERA,RICKY JUNQUERA,DEMOCRAT,,,
FLORIDA,STATE HOUSE,118,STATE REPRESENTATIVE DIST 118,,,yes,,
FLORIDA,STATE HOUSE,119,IMTIAZ AHMAD MOHAMMAD,IMTIAZ AHMAD MOHAMMAD,DEMOCRAT,,,
FLORIDA,STATE HOUSE,119,JUAN FERNANDEZBARQUIN,JUAN FERNANDEZ-BARQUIN,REPUBLICAN,,,
FLORIDA,STATE HOUSE,119,STATE REPRESENTATIVE DIST 119,,,yes,,
FLORIDA,STATE HOUSE,120,CLINT BARRAS,CLINT BARRAS,DEMOCRAT,,,
FLORIDA,STATE HOUSE,120,JAMES JIM VERNON MOONEY JR,"JAMES JIM VERNON MOONEY, JR.",REPUBLICAN,,,
