|state         |county_name     |
|COLORADO      |LAKE            |
|COLORADO      |LARIMER         |
|COLORADO      |LINCOLN         |
|COLORADO      |LOGAN           |
|COLORADO      |MESA            |
|COLORADO      |MINERAL         |
|COLORADO      |MOFFAT          |
|COLORADO      |MONTEZUMA       |
|COLORADO      |MONTROSE        |
|COLORADO      |MORGAN          |
|COLORADO      |OTERO           |
|COLORADO      |OURAY           |
|COLORADO      |PARK            |
|COLORADO      |PHILLIPS        |
|COLORADO      |PITKIN          |
|COLORADO      |PROWERS         |
|COLORADO      |PUEBLO          |
|COLORADO      |RIO BLANCO      |
|COLORADO      |RIO GRANDE      |
|COLORADO      |ROUTT           |
|COLORADO      |SAGUACHE        |
|COLORADO      |SAN MIGUEL      |
|COLORADO      |SEDGWICK        |
|COLORADO      |TELLER          |
|COLORADO      |WASHINGTON      |
|COLORADO      |WELD            |
|COLORADO      |YUMA            |
|DELAWARE      |STATEWIDE       |
|FLORIDA       |BRADFORD        |
|FLORIDA       |BROWARD         |
|FLORIDA       |CALHOUN         |
|FLORIDA       |CITRUS          |
|FLORIDA       |COLLIER         |
|FLORIDA       |DUVAL           |
|FLORIDA       |ESCAMBIA        |
|FLORIDA       |FLAGLER         |
|FLORIDA       |GULF            |
|FLORIDA       |HAMILTON        |
|FLORIDA       |HILLSBOROUGH    |
|FLORIDA       |HOLMES          |
|FLORIDA       |LAFAYETTE       |
|FLORIDA       |LAKE            |
|FLORIDA       |MANATEE         |
|FLORIDA       |MARION          |
|FLORIDA       |MARTIN          |
|FLORIDA       |NASSAU          |
|FLORIDA       |OKALOOSA        |
|FLORIDA       |ORANGE          |
|FLORIDA       |PALM BEACH      |
|FLORIDA       |PASCO           |
|FLORIDA       |ST JOHNS        |
|FLORIDA       |SUMTER          |
|FLORIDA       |WAKULLA         |
|FLORIDA       |WALTON          |
|GEORGIA       |BACON           |
|GEORGIA       |BARROW          |
|GEORGIA       |BARTOW          |
|GEORGIA       |BEN HILL        |
|GEORGIA       |BERRIEN         |
|GEORGIA       |BIBB            |
|GEORGIA       |BLECKLEY        |
|GEORGIA       |BRANTLEY        |
|GEORGIA       |BRYAN           |
|GEORGIA       |BURKE           |
|GEORGIA       |CAMDEN          |
|GEORGIA       |CARROLL         |
|GEORGIA       |CATOOSA         |
|GEORGIA       |CHARLTON        |
|GEORGIA       |CHATHAM         |
|GEORGIA       |CHATTOOGA       |
|GEORGIA       |CHEROKEE        |
|GEORGIA       |CLARKE          |
|GEORGIA       |COBB            |
|GEORGIA       |COLQUITT        |
|GEORGIA       |COLUMBIA        |
|GEORGIA       |COOK            |
|GEORGIA       |CRISP           |
|GEORGIA       |DADE            |
|GEORGIA       |DAWSON          |
|GEORGIA       |DEKALB          |
|GEORGIA       |DOUGLAS         |
|GEORGIA       |EARLY           |
|GEORGIA       |ECHOLS          |
|GEORGIA       |ELBERT          |
|GEORGIA       |EMANUEL         |
|GEORGIA       |FAYETTE         |
|GEORGIA       |FORSYTH         |
|GEORGIA       |FRANKLIN        |
|GEORGIA       |GILMER          |
|GEORGIA       |GLASCOCK        |
|GEORGIA       |GLYNN           |
|GEORGIA       |GORDON          |
|GEORGIA       |GRADY           |
|GEORGIA       |GREENE          |
|GEORGIA       |GWINNETT        |
|GEORGIA       |HALL            |
|GEORGIA       |HARALSON        |
|GEORGIA       |HARRIS          |
|GEORGIA       |HART            |
|GEORGIA       |HEARD           |
|GEORGIA       |HENRY           |
|GEORGIA       |HOUSTON         |
|GEORGIA       |IRWIN           |
|GEORGIA       |JACKSON         |
|GEORGIA       |JASPER          |
|GEORGIA       |LANIER          |
|GEORGIA       |LAURENS         |
|GEORGIA       |LEE             |
|GEORGIA       |LOWNDES         |
|GEORGIA       |LUMPKIN         |
|GEORGIA       |MADISON         |
|GEORGIA       |MCDUFFIE        |
|GEORGIA       |MITCHELL        |
|GEORGIA       |MORGAN          |
|GEORGIA       |MURRAY          |
|GEORGIA       |MUSCOGEE        |
|GEORGIA       |NEWTON          |
|GEORGIA       |OCONEE          |
|GEORGIA       |PAULDING        |
|GEORGIA       |PIERCE          |
|GEORGIA       |PIKE            |
|GEORGIA       |POLK            |
|GEORGIA       |PULASKI         |
|GEORGIA       |PUTNAM          |
|GEORGIA       |RABUN           |
|GEORGIA       |RICHMOND        |
|GEORGIA       |ROCKDALE        |
|GEORGIA       |SCHLEY          |
|GEORGIA       |SPALDING        |
|GEORGIA       |TALBOT          |
|GEORGIA       |TATTNALL        |
|GEORGIA       |TERRELL         |
|GEORGIA       |THOMAS          |
|GEORGIA       |TIFT            |
|GEORGIA       |UPSON           |
|GEORGIA       |WALKER          |
|GEORGIA       |WALTON          |
|GEORGIA       |WARREN          |
|GEORGIA       |WHITFIELD       |
|GEORGIA       |WILCOX          |
|ILLINOIS      |BROWN           |
|ILLINOIS      |CLINTON         |
|ILLINOIS      |HAMILTON        |
|ILLINOIS      |JO DAVIESS      |
|ILLINOIS      |MONROE          |
|ILLINOIS      |PIKE            |
|ILLINOIS      |UNION           |
|ILLINOIS      |WAYNE           |
|IOWA          |DICKINSON       |
|MARYLAND      |ALLEGANY        |
|MARYLAND      |ANNE ARUNDEL    |
|MARYLAND      |BALTIMORE       |
|MARYLAND      |BALTIMORE CITY  |
|MARYLAND      |CALVERT         |
|MARYLAND      |CAROLINE        |
|MARYLAND      |CARROLL         |
|MARYLAND      |CECIL           |
|MARYLAND      |CHARLES         |
|MARYLAND      |DORCHESTER      |
|MARYLAND      |FREDERICK       |
|MARYLAND      |GARRETT         |
|MARYLAND      |HARFORD         |
|MARYLAND      |HOWARD          |
|MARYLAND      |KENT            |
|MARYLAND      |PRINCE GEORGE'S |
|MARYLAND      |QUEEN ANNE'S    |
|MARYLAND      |SOMERSET        |
|MARYLAND      |TALBOT          |
|MARYLAND      |WASHINGTON      |
|MARYLAND      |WICOMICO        |
|MICHIGAN      |ALCONA          |
|MICHIGAN      |ALGER           |
|MICHIGAN      |CHARLEVOIX      |
|MICHIGAN      |CLINTON         |
|MICHIGAN      |EATON           |
|MICHIGAN      |GLADWIN         |
|MICHIGAN      |IRON            |
|MICHIGAN      |MASON           |
|MICHIGAN      |MISSAUKEE       |
|MICHIGAN      |WASHTENAW       |
|NEVADA        |CARSON CITY     |
|NEVADA        |CHURCHILL       |
|NEVADA        |CLARK           |
|NEVADA        |DOUGLAS         |
|NEVADA        |ELKO            |
|NEVADA        |LANDER          |
|NEVADA        |LINCOLN         |
|NEVADA        |LYON            |
|NEVADA        |MINERAL         |
|NEVADA        |NYE             |
|NEVADA        |PERSHING        |
|NEVADA        |STOREY          |
|NEVADA        |WASHOE          |
|NEVADA        |WHITE PINE      |
|NEW JERSEY    |BERGEN          |
|NEW JERSEY    |CAMDEN          |
|NEW JERSEY    |CUMBERLAND      |
|NEW JERSEY    |GLOUCESTER      |
|NEW JERSEY    |MONMOUTH        |
|NEW JERSEY    |PASSAIC         |
|NEW JERSEY    |SALEM           |
|OHIO          |ALLEN           |
|OHIO          |ASHTABULA       |
|OHIO          |AUGLAIZE        |
|OHIO          |BELMONT         |
|OHIO          |BUTLER          |
|OHIO          |CHAMPAIGN       |
|OHIO          |CLARK           |
|OHIO          |CLINTON         |
|OHIO          |DARKE           |
|OHIO          |ERIE            |
|OHIO          |FAYETTE         |
|OHIO          |FRANKLIN        |
|OHIO          |GALLIA          |
|OHIO          |GREENE          |
|OHIO          |HANCOCK         |
|OHIO          |HARRISON        |
|OHIO          |HIGHLAND        |
|OHIO          |HOCKING         |
|OHIO          |LOGAN           |
|OHIO          |MIAMI           |
|OHIO          |PICKAWAY        |
|OHIO          |PREBLE          |
|OHIO          |PUTNAM          |
|OHIO          |RICHLAND        |
|OHIO          |ROSS            |
|OHIO          |SENECA          |
|OHIO          |SHELBY          |
|OHIO          |TRUMBULL        |
|OHIO          |TUSCARAWAS      |
|OHIO          |VAN WERT        |
|OHIO          |WAYNE           |
|OHIO          |WOOD            |
|OHIO          |WYANDOT         |
|OREGON        |COLUMBIA        |
|OREGON        |COOS            |
|OREGON        |DOUGLAS         |
|OREGON        |HARNEY          |
|OREGON        |JOSEPHINE       |
|OREGON        |KLAMATH         |
|OREGON        |LINCOLN         |
|OREGON        |LINN            |
|OREGON        |MARION          |
|OREGON        |POLK            |
|OREGON        |UNION           |
|OREGON        |WASCO           |
|OREGON        |WASHINGTON      |
|OREGON        |YAMHILL         |
|RHODE ISLAND  |STATEWIDE       |
|TENNESSEE     |LOUDON          |
|TENNESSEE     |PICKETT         |
|TENNESSEE     |SEVIER          |
|TENNESSEE     |WILLIAMSON      |
|TEXAS         |ANDREWS         |
|TEXAS         |BOSQUE          |
|TEXAS         |COLLIN          |
|TEXAS         |COMAL           |
|TEXAS         |COOKE           |
|TEXAS         |COTTLE          |
|TEXAS         |CRANE           |
|TEXAS         |ELLIS           |
|TEXAS         |ERATH           |
|TEXAS         |FORT BEND       |
|TEXAS         |GRAYSON         |
|TEXAS         |GUADALUPE       |
|TEXAS         |HIDALGO         |
|TEXAS         |KENDALL         |
|TEXAS         |LEE             |
|TEXAS         |MONTAGUE        |
|TEXAS         |NAVARRO         |
|TEXAS         |OLDHAM          |
|TEXAS         |ORANGE          |
|TEXAS         |PARMER          |
|TEXAS         |POTTER          |
|TEXAS         |SCURRY          |
|TEXAS         |SMITH           |
|TEXAS         |STEPHENS        |
|TEXAS         |TAYLOR          |
|TEXAS         |WALKER          |
|TEXAS         |WASHINGTON      |
|TEXAS         |WHARTON         |
|UTAH          |SAN JUAN        |
|WEST VIRGINIA |NICHOLAS        |
|WEST VIRGINIA |WOOD            |
|WISCONSIN     |BROWN           |
|WISCONSIN     |KENOSHA         |
|WISCONSIN     |PIERCE          |
|WISCONSIN     |WAUKESHA        |
